分类: ☘️央视频道, 名称: CCTV-1, 有效: 5, IPv4: 74, IPv6: 0, 最小延迟: 347 ms, 最高速率: 3.15 M/s, 平均速率: 1.41 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️央视频道, 名称: CCTV-2, 有效: 3, IPv4: 50, IPv6: 0, 最小延迟: 1030 ms, 最高速率: 0.83 M/s, 平均速率: 0.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️央视频道, 名称: CCTV-3, 有效: 5, IPv4: 46, IPv6: 0, 最小延迟: 34 ms, 最高速率: 31.09 M/s, 平均速率: 7.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️央视频道, 名称: CCTV-4, 有效: 4, IPv4: 47, IPv6: 0, 最小延迟: 418 ms, 最高速率: 7.67 M/s, 平均速率: 2.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️央视频道, 名称: CCTV-5, 有效: 5, IPv4: 48, IPv6: 0, 最小延迟: 59 ms, 最高速率: 24.71 M/s, 平均速率: 6.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 47, IPv6: 0, 最小延迟: 40 ms, 最高速率: 28.18 M/s, 平均速率: 7.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️央视频道, 名称: CCTV-16, 有效: 3, IPv4: 36, IPv6: 0, 最小延迟: 37 ms, 最高速率: 28.47 M/s, 平均速率: 14.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️央视频道, 名称: CCTV-6, 有效: 4, IPv4: 45, IPv6: 0, 最小延迟: 370 ms, 最高速率: 4.99 M/s, 平均速率: 2.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️央视频道, 名称: CCTV-7, 有效: 4, IPv4: 49, IPv6: 0, 最小延迟: 34 ms, 最高速率: 30.14 M/s, 平均速率: 9.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️央视频道, 名称: CCTV-8, 有效: 3, IPv4: 44, IPv6: 0, 最小延迟: 40 ms, 最高速率: 25.28 M/s, 平均速率: 9.79 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️央视频道, 名称: CCTV-9, 有效: 4, IPv4: 47, IPv6: 0, 最小延迟: 36 ms, 最高速率: 25.49 M/s, 平均速率: 8.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
